resultId,raceId,year,circuitId,circuit_name,circuit_difficulty,driverId,driver_name,constructorId,constructor_name,starting_grid,final_position,points,pit_stops,pit_stop_lap,pit_stop_duration,fastestLapTime,fastestLapSpeed,statusId,race_status
1,18,2008,1,Australian Grand Prix,Very Easy,1,hamilton,1,mclaren,1,1,10,#N/A,#N/A,#N/A,01:27.5,218.3,1,Finished
2,18,2008,1,Australian Grand Prix,Very Easy,2,heidfeld,2,bmw_sauber,5,2,8,#N/A,#N/A,#N/A,01:27.7,217.586,1,Finished
3,18,2008,1,Australian Grand Prix,Very Easy,3,rosberg,3,williams,7,3,6,#N/A,#N/A,#N/A,01:28.1,216.719,1,Finished
4,18,2008,1,Australian Grand Prix,Very Easy,4,alonso,4,renault,11,4,5,#N/A,#N/A,#N/A,01:28.6,215.464,1,Finished
5,18,2008,1,Australian Grand Prix,Very Easy,5,kovalainen,1,mclaren,3,5,4,#N/A,#N/A,#N/A,01:27.4,218.385,1,Finished
6,18,2008,1,Australian Grand Prix,Very Easy,6,nakajima,3,williams,13,6,3,#N/A,#N/A,#N/A,01:29.6,212.974,11,+1 Lap
7,18,2008,1,Australian Grand Prix,Very Easy,7,bourdais,5,toro_rosso,17,7,2,#N/A,#N/A,#N/A,01:29.5,213.224,5,Engine
8,18,2008,1,Australian Grand Prix,Very Easy,8,raikkonen,6,ferrari,15,8,1,#N/A,#N/A,#N/A,01:27.9,217.18,5,Engine
9,18,2008,1,Australian Grand Prix,Very Easy,9,kubica,2,bmw_sauber,2,9,0,#N/A,#N/A,#N/A,01:28.8,215.1,4,Collision
10,18,2008,1,Australian Grand Prix,Very Easy,10,glock,7,toyota,18,10,0,#N/A,#N/A,#N/A,01:29.6,213.166,3,Accident
11,18,2008,1,Australian Grand Prix,Very Easy,11,sato,8,super_aguri,19,11,0,#N/A,#N/A,#N/A,01:30.9,210.038,7,Transmission
12,18,2008,1,Australian Grand Prix,Very Easy,12,piquet_jr,4,renault,20,12,0,#N/A,#N/A,#N/A,01:31.4,208.907,8,Clutch
13,18,2008,1,Australian Grand Prix,Very Easy,13,massa,6,ferrari,4,13,0,#N/A,#N/A,#N/A,01:28.2,216.51,5,Engine
14,18,2008,1,Australian Grand Prix,Very Easy,14,coulthard,9,red_bull,8,14,0,#N/A,#N/A,#N/A,01:29.5,213.3,4,Collision
15,18,2008,1,Australian Grand Prix,Very Easy,15,trulli,7,toyota,6,15,0,#N/A,#N/A,#N/A,01:29.3,213.758,10,Electrical
16,18,2008,1,Australian Grand Prix,Very Easy,16,sutil,10,force_india,22,16,0,#N/A,#N/A,#N/A,01:32.0,207.461,9,Hydraulics
17,18,2008,1,Australian Grand Prix,Very Easy,17,webber,9,red_bull,14,17,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
18,18,2008,1,Australian Grand Prix,Very Easy,18,button,11,honda,12,18,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
19,18,2008,1,Australian Grand Prix,Very Easy,19,davidson,8,super_aguri,21,19,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
20,18,2008,1,Australian Grand Prix,Very Easy,20,vettel,5,toro_rosso,9,20,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
21,18,2008,1,Australian Grand Prix,Very Easy,21,fisichella,10,force_india,16,21,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
22,18,2008,1,Australian Grand Prix,Very Easy,22,barrichello,11,honda,10,22,0,#N/A,#N/A,#N/A,01:28.7,215.141,2,Disqualified
23,19,2008,2,Malaysian Grand Prix,Very Hard,8,raikkonen,6,ferrari,2,1,10,#N/A,#N/A,#N/A,01:35.4,209.158,1,Finished
24,19,2008,2,Malaysian Grand Prix,Very Hard,9,kubica,2,bmw_sauber,4,2,8,#N/A,#N/A,#N/A,01:35.9,208.033,1,Finished
25,19,2008,2,Malaysian Grand Prix,Very Hard,5,kovalainen,1,mclaren,8,3,6,#N/A,#N/A,#N/A,01:35.9,208.031,1,Finished
26,19,2008,2,Malaysian Grand Prix,Very Hard,15,trulli,7,toyota,3,4,5,#N/A,#N/A,#N/A,01:36.1,207.715,1,Finished
27,19,2008,2,Malaysian Grand Prix,Very Hard,1,hamilton,1,mclaren,9,5,4,#N/A,#N/A,#N/A,01:35.5,209.033,1,Finished
28,19,2008,2,Malaysian Grand Prix,Very Hard,2,heidfeld,2,bmw_sauber,5,6,3,#N/A,#N/A,#N/A,01:35.4,209.244,1,Finished
29,19,2008,2,Malaysian Grand Prix,Very Hard,17,webber,9,red_bull,6,7,2,#N/A,#N/A,#N/A,01:36.7,206.366,1,Finished
30,19,2008,2,Malaysian Grand Prix,Very Hard,4,alonso,4,renault,7,8,1,#N/A,#N/A,#N/A,01:36.3,207.24,1,Finished
31,19,2008,2,Malaysian Grand Prix,Very Hard,14,coulthard,9,red_bull,12,9,0,#N/A,#N/A,#N/A,01:36.2,207.417,1,Finished
32,19,2008,2,Malaysian Grand Prix,Very Hard,18,button,11,honda,11,10,0,#N/A,#N/A,#N/A,01:35.7,208.481,1,Finished
33,19,2008,2,Malaysian Grand Prix,Very Hard,12,piquet_jr,4,renault,13,11,0,#N/A,#N/A,#N/A,01:37.0,205.812,1,Finished
34,19,2008,2,Malaysian Grand Prix,Very Hard,21,fisichella,10,force_india,17,12,0,#N/A,#N/A,#N/A,01:37.0,205.8,11,+1 Lap
35,19,2008,2,Malaysian Grand Prix,Very Hard,22,barrichello,11,honda,14,13,0,#N/A,#N/A,#N/A,01:36.7,206.372,11,+1 Lap
36,19,2008,2,Malaysian Grand Prix,Very Hard,3,rosberg,3,williams,16,14,0,#N/A,#N/A,#N/A,01:36.8,206.182,11,+1 Lap
37,19,2008,2,Malaysian Grand Prix,Very Hard,19,davidson,8,super_aguri,21,15,0,#N/A,#N/A,#N/A,01:38.2,203.265,11,+1 Lap
38,19,2008,2,Malaysian Grand Prix,Very Hard,11,sato,8,super_aguri,19,16,0,#N/A,#N/A,#N/A,01:38.5,202.578,12,+2 Laps
39,19,2008,2,Malaysian Grand Prix,Very Hard,6,nakajima,3,williams,22,17,0,#N/A,#N/A,#N/A,01:37.7,204.222,12,+2 Laps
40,19,2008,2,Malaysian Grand Prix,Very Hard,20,vettel,5,toro_rosso,15,18,0,#N/A,#N/A,#N/A,01:36.9,205.995,5,Engine
41,19,2008,2,Malaysian Grand Prix,Very Hard,13,massa,6,ferrari,1,19,0,#N/A,#N/A,#N/A,01:35.9,208.048,20,Spun off
42,19,2008,2,Malaysian Grand Prix,Very Hard,16,sutil,10,force_india,20,20,0,#N/A,#N/A,#N/A,01:40.3,198.891,9,Hydraulics
43,19,2008,2,Malaysian Grand Prix,Very Hard,10,glock,7,toyota,10,21,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
44,19,2008,2,Malaysian Grand Prix,Very Hard,7,bourdais,5,toro_rosso,18,22,0,#N/A,#N/A,#N/A,\N,\N,20,Spun off
45,20,2008,3,Bahrain Grand Prix,Easy,13,massa,6,ferrari,2,1,10,#N/A,#N/A,#N/A,01:33.6,208.153,1,Finished
46,20,2008,3,Bahrain Grand Prix,Easy,8,raikkonen,6,ferrari,4,2,8,#N/A,#N/A,#N/A,01:33.7,207.911,1,Finished
47,20,2008,3,Bahrain Grand Prix,Easy,9,kubica,2,bmw_sauber,1,3,6,#N/A,#N/A,#N/A,01:33.8,207.765,1,Finished
48,20,2008,3,Bahrain Grand Prix,Easy,2,heidfeld,2,bmw_sauber,6,4,5,#N/A,#N/A,#N/A,01:33.6,208.231,1,Finished
49,20,2008,3,Bahrain Grand Prix,Easy,5,kovalainen,1,mclaren,5,5,4,#N/A,#N/A,#N/A,01:33.2,209.062,1,Finished
50,20,2008,3,Bahrain Grand Prix,Easy,15,trulli,7,toyota,7,6,3,#N/A,#N/A,#N/A,01:34.2,206.819,1,Finished
51,20,2008,3,Bahrain Grand Prix,Easy,17,webber,9,red_bull,11,7,2,#N/A,#N/A,#N/A,01:34.3,206.597,1,Finished
52,20,2008,3,Bahrain Grand Prix,Easy,3,rosberg,3,williams,8,8,1,#N/A,#N/A,#N/A,01:34.1,207.109,1,Finished
53,20,2008,3,Bahrain Grand Prix,Easy,10,glock,7,toyota,13,9,0,#N/A,#N/A,#N/A,01:34.8,205.503,1,Finished
54,20,2008,3,Bahrain Grand Prix,Easy,4,alonso,4,renault,10,10,0,#N/A,#N/A,#N/A,01:35.2,204.668,1,Finished
55,20,2008,3,Bahrain Grand Prix,Easy,22,barrichello,11,honda,12,11,0,#N/A,#N/A,#N/A,01:34.9,205.399,1,Finished
56,20,2008,3,Bahrain Grand Prix,Easy,21,fisichella,10,force_india,18,12,0,#N/A,#N/A,#N/A,01:35.1,204.963,11,+1 Lap
